Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF10555	Phospho-N-acetylmuramoyl-pentapeptide-transferase signature 1	pfam	conserved_site	IPR018480		
PF10557	Cullin protein neddylation domain	pfam	domain	IPR019559		
PF10558	Mitochondrial 18 KDa protein (MTP18)	pfam	family	IPR019560		
PF10559	Plug domain of Sec61p	pfam	domain	IPR019561		
PF10561	C2orf69	pfam	family	IPR018881		
PF10562	Calmodulin-binding domain C0 of NMDA receptor NR1 subunit	pfam	domain	IPR018882		
PF10563	Delta carbonic anhydrase	pfam	family	IPR018883		
PF10564	Sialic-acid binding micronemal adhesive repeat	pfam	repeat	IPR019562		
PF10565	N-methyl D-aspartate receptor 2B3 C-terminus	pfam	family	IPR018884		
PF10566	Glycoside hydrolase 97	pfam	domain	IPR019563		
PF10567	RNA-recognition motif	pfam	domain	IPR018885		
PF10568	Outer mitochondrial membrane transport complex protein	pfam	family	IPR019564		
PF10570	Myelin-PO cytoplasmic C-term p65 binding region	pfam	domain	IPR019566		
PF10571	Uncharacterised protein family UPF0547	pfam	domain	IPR018886		
PF10572	UPF0556 domain	pfam	domain	IPR018887		
PF10573	Uncharacterised protein family UPF0561	pfam	family	IPR018888		
PF10574	Arp2/3-interacting proteins Arpin	pfam	family	IPR018889		
PF10576	Iron-sulfur binding domain of endonuclease III	pfam	domain	IPR003651		
PF10577	Uncharacterised protein family UPF0560	pfam	family	IPR018890		
PF10578	Seminal vesicle protein repeat	pfam	repeat	IPR018942		
PF10579	Rapsyn N-terminal myristoylation and linker region	pfam	repeat	IPR019568		
PF10580	Gap junction protein N-terminal region	pfam	domain	IPR018947		
PF10581	Synapsin N-terminal	pfam	domain	IPR019736		
PF10583	Involucrin of squamous epithelia N-terminus	pfam	domain	IPR019571		
PF10584	Proteasome subunit A N-terminal signature	pfam	family	IPR000426		
PF10585	Ubiquitin-activating enzyme, SCCH domain	pfam	domain	IPR019572		
PF10587	Eukaryotic elongation factor 1 beta central acidic region	pfam	domain	IPR018940		
PF10588	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region	pfam	domain	IPR019574		
PF10589	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region	pfam	domain	IPR019575		
PF10590	Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region	pfam	domain	IPR019576		
PF10591	Secreted protein acidic and rich in cysteine Ca binding region	pfam	domain	IPR019577		
PF10592	AIPR protein	pfam	family	IPR018891		
PF10593	Z1 domain	pfam	domain	IPR018310		
PF10595	Uncharacterised protein family UPF0564	pfam	family	IPR019579		
PF10596	U6-snRNA interacting domain of PrP8	pfam	domain	IPR019580		
PF10597	U5-snRNA binding site 2 of PrP8	pfam	domain	IPR019581		
PF10598	RNA recognition motif of the spliceosomal PrP8	pfam	domain	IPR019582		
PF10599	Retro-transposon transporting motif	pfam	domain	IPR018892		
PF10600	PDZ-associated domain of NMDA receptors	pfam	domain	IPR019583		
PF10601	LITAF-like zinc ribbon domain	pfam	family	IPR006629		
PF10602	26S proteasome subunit RPN7	pfam	repeat	IPR045135		
PF10604	Polyketide cyclase / dehydrase and lipid transport	pfam	family	IPR019587		
PF10605	3HB-oligomer hydrolase (3HBOH)	pfam	family	IPR016582		
PF10606	Homer-binding domain of metabotropic glutamate receptor	pfam	domain	IPR019588		
PF10607	CTLH/CRA C-terminal to LisH motif domain	pfam	domain	IPR024964		
PF10608	Polyubiquitination (PEST) N-terminal domain of MAGUK	pfam	domain	IPR019590		
PF10609	NUBPL iron-transfer P-loop NTPase	pfam	family	IPR033756		
PF10610	Thin aggregative fimbriae synthesis protein	pfam	family	IPR014491		
PF10611	Protein of unknown function (DUF2469)	pfam	family	IPR019592		
PF10612	Spore coat protein Z	pfam	family	IPR019593		
PF10613	Ligated ion channel L-glutamate- and glycine-binding site	pfam	domain	IPR019594		
PF10614	Type VIII secretion system (T8SS), CsgF protein	pfam	family	IPR018893		
PF10615	Domain of unknown function (DUF2470)	pfam	domain	IPR019595		
PF10616	Protein of unknown function (DUF2471)	pfam	family	IPR018894		
PF10617	Protein of unknown function (DUF2474)	pfam	family	IPR018895		
PF10618	Phage tail tube protein	pfam	family	IPR019596		
PF10620	Phosphoribosyl-dephospho-CoA transferase MdcG	pfam	family	IPR017557		
PF10621	F420H2 dehydrogenase subunit FpoO	pfam	family	IPR018288		
PF10622	Energy-converting hydrogenase B subunit P (EhbP)	pfam	family	IPR019597		
PF10623	Plasmid conjugative transfer protein PilI	pfam	family	IPR018897		
PF10624	Plasmid conjugative transfer entry exclusion protein TraS	pfam	family	IPR018898		
PF10625	Universal stress protein B (UspB)	pfam	family	IPR019598		
PF10626	Conjugative transposon protein TraO	pfam	family	IPR018899		
PF10627	Curli assembly protein CsgE	pfam	family	IPR018900		
PF10628	Outer spore coat protein E (CotE)	pfam	family	IPR018901		
PF10629	Protein of unknown function (DUF2475)	pfam	family	IPR018902		
PF10630	Protein of unknown function (DUF2476)	pfam	family	IPR018903		
PF10631	Protein of unknown function (DUF2477)	pfam	family	IPR018904		
PF10633	NPCBM-associated, NEW3 domain of alpha-galactosidase	pfam	domain	IPR018905		
PF10634	Fe2+ transport protein	pfam	family	IPR018470		
PF10635	DisA bacterial checkpoint controller linker region	pfam	domain	IPR018906		
PF10636	Hemin uptake protein hemP	pfam	family	IPR019600		
PF10637	Oxoglutarate and iron-dependent oxygenase degradation C-term	pfam	domain	IPR019601		
PF10638	Spindle body associated protein C-terminus	pfam	domain	IPR018907		
PF10639	Putative transmembrane family 234	pfam	family	IPR018908		
PF10640	mRNA capping enzyme N-terminal, ATPase and guanylyltransferase	pfam	domain	IPR019602		
PF10642	Mitochondrial import receptor subunit or translocase	pfam	family	IPR019603		
PF10643	Photosystem P840 reaction-centre cytochrome c-551	pfam	family	IPR019604		
PF10644	Misato Segment II tubulin-like domain	pfam	domain	IPR019605		
PF10645	Carbohydrate binding	pfam	domain	IPR018909		
PF10646	Sporulation and spore germination	pfam	domain	IPR019606		
PF10647	Lipoprotein LpqB beta-propeller domain	pfam	repeat	IPR018910		
PF10648	Immunoglobulin-like domain of bacterial spore germination	pfam	domain	IPR018911		
PF10649	Protein of unknown function (DUF2478)	pfam	family	IPR018912		
PF10650	Putative zinc-finger domain	pfam	domain	IPR019607		
PF10651	BppU N-terminal domain	pfam	domain	IPR018913		
PF10652	Protein of unknown function (DUF2480)	pfam	family	IPR018914		
PF10653	Protein gp45 of Bacteriophage A118	pfam	family	IPR018915		
PF10654	Protein of unknown function (DUF2481)	pfam	family	IPR018916		
PF10655	Hypothetical protein of unknown function (DUF2482)	pfam	family	IPR018917		
PF10656	Hypothetical protein of unknown function (DUF2483)	pfam	family	IPR018918		
PF10657	Photosystem P840 reaction centre protein PscD	pfam	family	IPR019608		
PF10658	Protein of unknown function (DUF2484)	pfam	family	IPR018919		
PF10659	Trypanosome variant surface glycoprotein C-terminal domain	pfam	domain	IPR019609		
PF10660	Iron-containing outer mitochondrial membrane protein N-terminus	pfam	domain	IPR019610		
PF10661	WXG100 protein secretion system (Wss), protein EssA	pfam	family	IPR034026		
PF10662	Ethanolamine utilisation - propanediol utilisation	pfam	domain	IPR012381		
PF10664	Cyanobacterial and plastid NDH-1 subunit M	pfam	family	IPR018922		
PF10665	Minor capsid protein	pfam	family	IPR019612		
PF10666	Phage tail assembly chaperone protein Gp14 ()A118	pfam	family	IPR018923		
PF10667	Protein of unknown function (DUF2486)	pfam	family	IPR018924		
PF10668	Phage terminase small subunit	pfam	domain	IPR018925		
PF10669	Protein gp23 (Bacteriophage A118)	pfam	family	IPR018926		
PF10670	Domain of unknown function (DUF4198)	pfam	family	IPR019613		
PF10671	Toxin co-regulated pilus biosynthesis protein Q	pfam	family	IPR018927		
PF10672	S-adenosylmethionine-dependent methyltransferase	pfam	family	IPR019614		
PF10673	Protein of unknown function (DUF2487)	pfam	family	IPR019615		
PF10674	Protein of unknown function (DUF2488)	pfam	family	IPR019616		
PF10675	Protein of unknown function (DUF2489)	pfam	domain	IPR019617		
PF10676	Spore germination protein gerPA/gerPF	pfam	family	IPR019618		
PF10677	Protein of unknown function (DUF2490)	pfam	family	IPR019619		
PF10678	Protein of unknown function (DUF2492)	pfam	family	IPR019620		
PF10679	Protein of unknown function (DUF2491)	pfam	family	IPR019621		
PF10680	RNA polymerase I specific transcription initiation factor	pfam	domain	IPR019622		
PF10681	Chaperone for protein-folding within the ER, fungal	pfam	family	IPR019623		
PF10682	Glycoprotein of human cytomegalovirus HHV-5	pfam	family	IPR019624		
PF10683	Hermes transposase DNA-binding domain	pfam	domain	IPR018473		
PF10684	Putative biofilm-dependent modulation protein	pfam	family	IPR019625		
PF10685	Stress-induced bacterial acidophilic repeat motif	pfam	family	IPR019626		
PF10686	YspA, cpYpsA-related SLOG family	pfam	family	IPR019627		
PF10688	Bacterial inner membrane protein	pfam	family	IPR019629		
PF10689	Protein of unknown function (DUF2496)	pfam	family	IPR019630		
PF10690	Myticin pre-proprotein from the mussel	pfam	family	IPR019631		
PF10691	Protein of unknown function (DUF2497)	pfam	family	IPR019632		
PF10692	Protein of unknown function (DUF2498)	pfam	family	IPR019633		
PF10693	Protein of unknown function (DUF2499)	pfam	family	IPR019634		
PF10694	Protein of unknown function (DUF2500)	pfam	family	IPR019635		
PF10696	Protein of unknown function (DUF2501)	pfam	family	IPR019637		
PF10697	Protein of unknown function (DUF2502)	pfam	family	IPR019638		
PF10698	Protein of unknown function (DUF2505)	pfam	family	IPR019639		
PF10699	Male gamete fusion factor	pfam	domain	IPR018928		
PF10702	Protein of unknown function (DUF2507)	pfam	family	IPR019642		
PF10703	MoaF N-terminal domain	pfam	domain	IPR024724		
PF10704	Protein of unknown function (DUF2508)	pfam	family	IPR019644		
PF10705	Chloroplast protein precursor Ycf15 putative	pfam	family	IPR019645		
PF10706	Aminoglycoside-2''-adenylyltransferase	pfam	family	IPR019646		
PF10707	PhoP regulatory network protein YrbL	pfam	family	IPR019647		
PF10708	Protein of unknown function (DUF2510)	pfam	family	IPR018929		
PF10709	Protein of unknown function (DUF2511)	pfam	family	IPR019648		
PF10710	Protein of unknown function (DUF2512)	pfam	family	IPR019649		
PF10711	Hypothetical protein (DUF2513)	pfam	family	IPR019650		
PF10712	NAD-specific glutamate dehydrogenase	pfam	family	IPR019651		
PF10713	Protein of unknown function (DUF2509)	pfam	family	IPR019652		
PF10714	Late embryogenesis abundant protein 18	pfam	family	IPR018930		
PF10715	T4-page Endoribonuclease RegB	pfam	domain	IPR019653		
PF10716	NADH dehydrogenase transmembrane subunit	pfam	family	IPR019654		
PF10717	Occlusion-derived virus envelope protein ODV-E18	pfam	family	IPR019655		
PF10718	Hypothetical chloroplast protein Ycf34	pfam	family	IPR019656		
PF10719	Late competence development protein ComFB	pfam	family	IPR019657		
PF10720	Protein of unknown function (DUF2515)	pfam	family	IPR019658		
PF10721	Protein of unknown function (DUF2514)	pfam	domain	IPR019659		
PF10722	Putative bacterial sensory transduction regulator	pfam	domain	IPR019660		
PF10723	Replication regulatory protein RepB	pfam	domain	IPR019661		
PF10724	Protein of unknown function (DUF2516)	pfam	family	IPR019662		
PF10725	Protein of unknown function (DUF2517)	pfam	family	IPR019663		
PF10726	Protein of function (DUF2518)	pfam	family	IPR019664		
PF10727	Rossmann-like domain	pfam	domain	IPR019665		
PF10728	Domain of unknown function (DUF2520)	pfam	domain	IPR018931		
PF10729	Cell division activator CedA	pfam	domain	IPR019666		
PF10730	Protein of unknown function (DUF2521)	pfam	family	IPR019667		
PF10731	Thrombin inhibitor from mosquito	pfam	family	IPR018932		
PF10732	Protein of unknown function (DUF2524)	pfam	unknown	IPR019668		
PF10733	Protein of unknown function (DUF2525)	pfam	family	IPR019669		
PF10734	Protein of unknown function (DUF2523)	pfam	family	IPR019670		
PF10735	Protein of unknown function (DUF2526)	pfam	family	IPR019671		
PF10736	Protein of unknown function (DUF2627)	pfam	family	IPR019672		
PF10737	Spore germination protein GerPC	pfam	family	IPR019673		
PF10738	Probable lipoprotein LpqN	pfam	family	IPR019674		
PF10739	Protein of unknown function (DUF2550)	pfam	family	IPR019675		
PF10740	Domain of unknown function (DUF2529)	pfam	domain	IPR019676		
PF10741	Type II secretion system (T2SS), protein M subtype b	pfam	family	IPR034756		
PF10742	Protein of unknown function (DUF2555)	pfam	family	IPR019678		
PF10743	Regulatory phage protein cox	pfam	family	IPR019679		
PF10744	Mediator of RNA polymerase II transcription subunit 1	pfam	domain	IPR019680		
PF10745	Protein of unknown function (DUF2530)	pfam	family	IPR019681		
PF10746	Phage holin T7 family, holin superfamily II	pfam	family	IPR019682		
PF10747	Sporulation inhibitor of replication protein SirA	pfam	family	IPR019683		
PF10748	DNA utilization proteins HofP	pfam	family	IPR019684		
PF10749	Protein of unknown function (DUF2534)	pfam	family	IPR019685		
PF10750	Protein of unknown function (DUF2536)	pfam	family	IPR019686		
PF10751	Protein of unknown function (DUF2535)	pfam	family	IPR019687		
PF10752	Protein of unknown function (DUF2533)	pfam	family	IPR019688		
PF10753	Toxin GhoT_OrtT	pfam	family	IPR019689		
PF10754	Protein of unknown function (DUF2569)	pfam	family	IPR019690		
PF10755	Protein of unknown function (DUF2585)	pfam	family	IPR019691		
PF10756	Bacterial PH domain	pfam	domain	IPR019692		
PF10757	Biofilm formation regulator YbaJ	pfam	family	IPR019693		
PF10758	Protein of unknown function (DUF2586)	pfam	family	IPR019694		
PF10759	Bacterial proteasome activator	pfam	family	IPR019695		
PF10761	Protein of unknown function (DUF2590)	pfam	family	IPR019697		
PF10762	Protein of unknown function (DUF2583)	pfam	family	IPR019698		
PF10763	Protein of unknown function (DUF2584)	pfam	family	IPR019699		
PF10764	Inhibitor of sigma-G Gin	pfam	family	IPR019700		
PF10765	Bacteriophage P22, NinX	pfam	family	IPR019701		
PF10766	Multidrug efflux pump-associated protein AcrZ	pfam	family	IPR019702		
PF10767	Protein of unknown function (DUF2593)	pfam	family	IPR019703		
PF10768	Class II flagellar assembly regulator	pfam	family	IPR019704		
PF10769	Protein of unknown function (DUF2594)	pfam	family	IPR019705		
PF10771	Winged helix-turn-helix domain (DUF2582)	pfam	domain	IPR019707		
PF10772	Bacteriophage HP1, Orf24	pfam	family	IPR019708		
PF10774	Domain of unknown function (DUF4226)	pfam	domain	IPR019710		
PF10775	ATP synthase complex subunit h	pfam	family	IPR019711		
PF10776	Protein of unknown function (DUF2600)	pfam	family	IPR019712		
PF10777	Inner membrane protein YlaC	pfam	domain	IPR019713		
PF10778	Halocarboxylic acid dehydrogenase DehI	pfam	family	IPR019714		
PF10779	Haemolysin XhlA	pfam	unknown	IPR019715		
PF10780	39S ribosomal protein L53/MRP-L53	pfam	family	IPR019716		
PF10781	Dextransucrase DSRB	pfam	family	IPR019717		
PF10782	Zinc-finger	pfam	family	IPR019718		
PF10783	Protein of unknown function (DUF2599)	pfam	family	IPR019719		
PF10784	Plasmid stability protein	pfam	family	IPR019720		
PF10785	NADH-ubiquinone oxidoreductase complex I, 21 kDa subunit	pfam	domain	IPR019721		
PF10786	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	pfam	family	IPR019722		
PF10787	Uncharacterised protein from bacillus cereus group	pfam	family	IPR019723		
PF10788	Protein of unknown function (DUF2603)	pfam	family	IPR019724		
PF10789	Phage RNA polymerase binding, RpbA	pfam	family	IPR019725		
PF10790	Protein of Unknown function (DUF2604)	pfam	family	IPR019726		
PF10791	Mitochondrial F1-F0 ATP synthase subunit F of fungi	pfam	family	IPR019727		
PF10792	Protein of unknown function (DUF2605)	pfam	family	IPR019728		
PF10793	Gloverin-like protein	pfam	family	IPR019729		
PF10794	Protein of unknown function (DUF2606)	pfam	family	IPR019730		
PF10795	Protein of unknown function (DUF2607)	pfam	family	IPR019731		
PF10796	Sigma-S stabilisation anti-adaptor protein	pfam	family	IPR019732		
PF10797	Protein of unknown function	pfam	family	IPR019733		
PF10798	Biofilm development protein YmgB/AriR	pfam	family	IPR024753		
PF10799	Biofilm formation protein (YliH/bssR)	pfam	family	IPR020359		
PF10800	Protein of unknown function (DUF2528)	pfam	family	IPR024252		
PF10801	Protein of unknown function (DUF2537)	pfam	family	IPR024244		
PF10802	Protein of unknown function (DUF2540)	pfam	family	IPR024254		
PF10803	Spore germination GerPB	pfam	family	IPR024255		
PF10804	Protein of unknown function (DUF2538)	pfam	family	IPR024469		
PF10805	Protein of unknown function (DUF2730)	pfam	unknown	IPR020269		
PF10806	SAM35, subunit of SAM coomplex	pfam	family	IPR021211		
PF10807	Protein of unknown function (DUF2541)	pfam	family	IPR020240		
PF10808	Protein of unknown function (DUF2542)	pfam	family	IPR020155		
PF10809	Protein of unknown function (DUF2732)	pfam	family	IPR020126		
PF10810	Protein of unknown function (DUF2545)	pfam	family	IPR024470		
PF10811	Protein of unknown function (DUF2532)	pfam	family	IPR024386		
PF10812	Protein of unknown function (DUF2561)	pfam	family	IPR024381		
PF10813	Herpesvirus UL11 homologue	pfam	family	IPR024360		
PF10814	Cell wall synthesis protein CwsA	pfam	family	IPR024245		
PF10815	ComZ	pfam	family	IPR024558		
PF10816	Domain of unknown function (DUF2760)	pfam	domain	IPR021212		
PF10817	Protein of unknown function (DUF2563)	pfam	family	IPR022534		
PF10818	secA translation cis-regulator SecM, small type	pfam	family	IPR020508		
PF10819	Protein of unknown function (DUF2564)	pfam	family	IPR020314		
PF10820	Protein of unknown function (DUF2543)	pfam	family	IPR020251		
PF10821	Protein of unknown function (DUF2567)	pfam	family	IPR021213		
PF10823	Protein of unknown function (DUF2568)	pfam	family	IPR021214		
PF10824	Excreted virulence factor EspC, type VII ESX diderm	pfam	domain	IPR022536		
PF10825	Protein of unknown function (DUF2752)	pfam	family	IPR021215		
PF10826	Protein of unknown function (DUF2551)	pfam	family	IPR020501		
PF10827	Protein of unknown function (DUF2552)	pfam	family	IPR020157		
PF10828	Protein of unknown function (DUF2570)	pfam	family	IPR022538		
PF10829	Protein of unknown function (DUF2554)	pfam	family	IPR020117		
PF10830	Protein of unknown function (DUF2553)	pfam	family	IPR020140		
PF10831	Protein of unknown function (DUF2556)	pfam	family	IPR022540		
PF10832	Protein of unknown function (DUF2559)	pfam	family	IPR022541		
PF10833	Protein of unknown function (DUF2572)	pfam	family	IPR022543		
PF10834	Protein of unknown function (DUF2560)	pfam	family	IPR022544		
PF10835	Protein of unknown function (DUF2573)	pfam	family	IPR020393		
PF10836	Protein of unknown function (DUF2574)	pfam	family	IPR020386		
PF10838	Protein of unknown function (DUF2677)	pfam	family	IPR022545		
PF10839	Protein of unknown function (DUF2647)	pfam	family	IPR022546		
PF10840	Protein of unknown function (DUF2645)	pfam	family	IPR022553		
PF10841	Protein of unknown function (DUF2644)	pfam	family	IPR020300		
PF10842	Protein of unknown function (DUF2642)	pfam	family	IPR020139		
PF10843	Respiratory growth induced protein 1	pfam	family	IPR022554		
PF10844	Protein of unknown function (DUF2577)	pfam	family	IPR022555		
PF10845	Protein of unknown function (DUF2576)	pfam	family	IPR022556		
PF10846	Protein of unknown function (DUF2722)	pfam	family	IPR021216		
PF10847	Protein of unknown function (DUF2656)	pfam	family	IPR020325		
PF10849	Protein of unknown function (DUF2654)	pfam	family	IPR022558		
PF10850	Protein of unknown function (DUF2653)	pfam	family	IPR020516		
PF10851	Protein of unknown function (DUF2652)	pfam	family	IPR020503		
PF10852	Protein of unknown function (DUF2651)	pfam	family	IPR020258		
PF10853	Protein of unknown function (DUF2650)	pfam	family	IPR022559		
PF10854	Protein of unknown function (DUF2649)	pfam	family	IPR021217		
PF10856	Protein of unknown function (DUF2678)	pfam	family	IPR022564		
PF10857	Protein of unknown function (DUF2701)	pfam	family	IPR022586		
PF10858	Protein of unknown function (DUF2659)	pfam	family	IPR022588		
PF10859	Protein of unknown function (DUF2660)	pfam	family	IPR022589		
PF10860	Protein of unknown function (DUF2661)	pfam	family	IPR020387		
PF10861	Protein of Unknown function (DUF2784)	pfam	family	IPR021218		
PF10862	FcoT-like thioesterase domain	pfam	domain	IPR022598		
PF10863	Nucleolar protein 19	pfam	family	IPR022592		
PF10864	Protein of unknown function (DUF2663)	pfam	family	IPR020210		
PF10865	Domain of unknown function (DUF2703)	pfam	domain	IPR021219		
PF10866	Protein of unknown function (DUF2704)	pfam	family	IPR022594		
PF10867	Protein of unknown function (DUF2664)	pfam	family	IPR022614		
PF10868	Cysteine-rich antifungal protein 2, defensin-like	pfam	domain	IPR022618		
PF10869	Protein of unknown function (DUF2666)	pfam	family	IPR022620		
PF10870	Protein of unknown function (DUF2729)	pfam	family	IPR022621		
PF10871	Protein of unknown function (DUF2748)	pfam	family	IPR020183		
PF10872	Protein of unknown function (DUF2740)	pfam	family	IPR022626		
PF10873	Cysteine and tyrosine-rich protein 1	pfam	family	IPR022640		
PF10874	Protein of unknown function (DUF2746)	pfam	family	IPR022704		
PF10875	Protein of unknown function (DUF2670)	pfam	family	IPR022714		
PF10876	Phage tail assembly chaperone protein, TAC	pfam	family	IPR020351		
PF10877	Protein of unknown function (DUF2671)	pfam	family	IPR022715		
PF10878	Protein of unknown function (DUF2672)	pfam	family	IPR022718		
PF10879	Protein of unknown function (DUF2674)	pfam	family	IPR024246		
PF10880	Protein of unknown function (DUF2673)	pfam	family	IPR024247		
PF10881	Protein of unknown function (DUF2726)	pfam	family	IPR024402		
PF10882	Bacterial PH domain	pfam	domain	IPR027783		
PF10883	Protein of unknown function (DUF2681)	pfam	family	IPR020274		
PF10884	Protein of unknown function (DUF2683)	pfam	family	IPR020271		
PF10886	Protein of unknown function (DUF2685)	pfam	family	IPR024362		
PF10887	Protein of unknown function (DUF2686)	pfam	family	IPR021220		
PF10888	Protein of unknown function (DUF2742)	pfam	family	IPR024384		
PF10890	Cytochrome b-c1 complex subunit 8	pfam	family	IPR020101		
PF10891	Protein of unknown function (DUF2719)	pfam	family	IPR020122		
PF10892	Protein of unknown function (DUF2688)	pfam	family	IPR024392		
PF10893	Bacteriophage 186, Fil	pfam	family	IPR021221		
PF10894	Protein of unknown function (DUF2689)	pfam	family	IPR024396		
PF10895	Domain of unknown function (DUF2715)	pfam	domain	IPR024471		
PF10896	Protein of unknown function (DUF2714)	pfam	family	IPR021222		
PF10897	Protein of unknown function (DUF2713)	pfam	family	IPR020404		
PF10898	Protein of unknown function (DUF2716)	pfam	family	IPR020323		
PF10899	Putative abortive phage resistance protein AbiGi, antitoxin	pfam	family	IPR021223		
PF10901	Protein of unknown function (DUF2690)	pfam	family	IPR021224		
PF10902	WYL_2, Sm-like SH3 beta-barrel fold	pfam	family	IPR024401		
PF10903	Protein of unknown function (DUF2691)	pfam	family	IPR020216		
PF10904	Protein of unknown function (DUF2694)	pfam	family	IPR024426		
PF10905	Protein of unknown function (DUF2695)	pfam	family	IPR024248		
PF10906	MIOREX complex component 7	pfam	family	IPR020301		
PF10907	Protein of unknown function (DUF2749)	pfam	family	IPR024475		
PF10908	Protein of unknown function (DUF2778)	pfam	family	IPR021225		
PF10909	Protein of unknown function (DUF2682)	pfam	family	IPR024322		
PF10910	Protein of unknown function (DUF2744)	pfam	family	IPR021226		
PF10911	Bacteriophage T7-like gene 6.5	pfam	family	IPR020121		
PF10912	Protein of unknown function (DUF2700)	pfam	family	IPR024483		
PF10913	Protein of unknown function (DUF2706)	pfam	family	IPR024444		
PF10915	Protein of unknown function (DUF2709)	pfam	family	IPR024484		
PF10916	Protein of unknown function (DUF2712)	pfam	family	IPR020208		
PF10917	Fungus-induced protein	pfam	family	IPR024415		
PF10918	Protein of unknown function (DUF2718)	pfam	family	IPR020356		
PF10920	Protein of unknown function (DUF2705)	pfam	family	IPR024295		
PF10921	Protein of unknown function (DUF2710)	pfam	family	IPR024296		
PF10922	Bacteriophage T7-like, gene 1.2	pfam	family	IPR020147		
PF10923	BREX system ATP-binding protein BrxC/D	pfam	domain	IPR021228		
PF10924	Protein of unknown function (DUF2711)	pfam	family	IPR024250		
PF10925	Protein of unknown function (DUF2680)	pfam	family	IPR024485		
PF10926	Protein of unknown function (DUF2800)	pfam	family	IPR021229		
PF10927	Protein of unknown function (DUF2738)	pfam	family	IPR024416		
PF10928	Protein of unknown function (DUF2810)	pfam	family	IPR021230		
PF10929	Protein of unknown function (DUF2811)	pfam	family	IPR021231		
PF10930	Protein of unknown function (DUF2737)	pfam	family	IPR020295		
PF10931	Protein of unknown function (DUF2735)	pfam	family	IPR021232		
PF10932	Protein of unknown function (DUF2783)	pfam	family	IPR021233		
PF10933	Protein of unknown function (DUF2827)	pfam	family	IPR021234		
PF10934	Protein of unknown function (DUF2634)	pfam	family	IPR020288		
PF10935	Protein of unknown function (DUF2637)	pfam	family	IPR021235		
PF10936	Protein of unknown function DUF2617	pfam	family	IPR024486		
PF10937	Ribosomal protein S36, mitochondrial	pfam	family	IPR020373		
PF10938	YfdX protein	pfam	family	IPR021236		
PF10939	Protein of unknown function (DUF2631)	pfam	family	IPR024341		
PF10940	Leader peptide SpeFL	pfam	family	IPR021237		
PF10941	Protein of unknown function DUF2620	pfam	family	IPR021238		
PF10942	Protein of unknown function (DUF2619)	pfam	family	IPR020390		
PF10943	Protein of unknown function (DUF2632)	pfam	family	IPR024251		
PF10944	Protein of unknown function (DUF2630)	pfam	family	IPR020311		
PF10945	Cellulose biosynthesis protein BcsR	pfam	family	IPR024487		
PF10946	Protein of unknown function DUF2625	pfam	family	IPR021239		
PF10947	Protein of unknown function (DUF2628)	pfam	family	IPR024399		
PF10948	Protein of unknown function (DUF2635)	pfam	family	IPR024400		
PF10949	Protein of unknown function (DUF2777)	pfam	family	IPR024488		
PF10950	Organ specific protein	pfam	family	IPR024489		
PF10951	Protein of unknown function (DUF2776)	pfam	family	IPR021240		
PF10952	Protein of unknown function (DUF2753)	pfam	family	IPR020206		
PF10953	Protein of unknown function (DUF2754)	pfam	family	IPR020490		
PF10954	Protein of unknown function (DUF2755)	pfam	family	IPR020513		
PF10955	Anti-sigma-F factor Fin	pfam	family	IPR020115		
PF10956	Protein of unknown function (DUF2756)	pfam	family	IPR020158		
PF10957	Sporulation protein Cse60	pfam	family	IPR020296		
PF10958	Protein of unknown function (DUF2759)	pfam	family	IPR024490		
PF10959	Protein of unknown function (DUF2761)	pfam	family	IPR024249		
PF10960	BhlA holin family	pfam	family	IPR024405		
PF10961	Selenoprotein SelK_SelG	pfam	family	IPR024491		
PF10962	Protein of unknown function (DUF2764)	pfam	family	IPR024492		
PF10963	Phage tail assembly chaperone	pfam	family	IPR024406		
PF10964	Protein of unknown function (DUF2766)	pfam	family	IPR020262		
PF10965	Protein of unknown function (DUF2767)	pfam	family	IPR024493		
PF10966	Protein of unknown function (DUF2768)	pfam	family	IPR020076		
PF10967	Protein of unknown function (DUF2769)	pfam	family	IPR020075		
PF10968	Protein of unknown function (DUF2770)	pfam	family	IPR024494		
PF10969	Protein of unknown function (DUF2771)	pfam	family	IPR024495		
PF10970	Spore germination protein GerPE	pfam	family	IPR024496		
PF10971	Protein of unknown function (DUF2773)	pfam	family	IPR024497		
PF10972	Peptidoglycan-binding protein, CsiV	pfam	family	IPR021241		
PF10973	Protein of unknown function (DUF2799)	pfam	family	IPR021242		
PF10974	Protein of unknown function (DUF2804)	pfam	family	IPR021243		
PF10975	Protein of unknown function (DUF2802)	pfam	family	IPR021244		
PF10976	Protein of unknown function (DUF2790)	pfam	family	IPR021245		
PF10977	Protein of unknown function (DUF2797)	pfam	family	IPR021246		
PF10978	Protein of unknown function (DUF2785)	pfam	family	IPR021247		
PF10979	Protein of unknown function (DUF2786)	pfam	family	IPR024498		
PF10980	Protein of unknown function (DUF2787)	pfam	family	IPR021248		
PF10981	Protein of unknown function (DUF2788)	pfam	family	IPR021249		
PF10982	Protein of unknown function (DUF2789)	pfam	family	IPR021250		
